code,preferred,definition,similarity
Z01-e0140_L1,心臓,心臓。,0.8257
Z01-c0106_L2,自動停止の問題,自動停止機能が正しく動作しない。,0.8249
Z01-c0106,自動停止の問題,自動停止機能が正しく動作しない。,0.8249
D05-e0072,心停止,心臓が停止すること,0.8139
Z01-e0229,呼吸停止,呼吸機能の停止。,0.8131
Z01-f0006,死亡,生命の停止。,0.8116
D05-e0071,死亡,生命活動が止まること,0.8064
H01-e0101,死亡,生命活動が止まること,0.8064
H02-e0107,死亡,生命活動が止まること,0.8064
H03-e0076,死亡,生命活動が止まること,0.8064
H04-e0085,死亡,生命活動が止まること,0.8064
Z01-a0144,電池の早期放電,電池の放電が予想より早い。,0.8043
E37-e0085,心肺停止,心臓と呼吸が止まった状態のこと,0.8025
Z01-a0385,アラームの遅延,機器アラームシステムが遅れて動作する。,0.8024
Z01-a0098,機械的詰まり,機器の動作が妨げられるか、制限される。,0.798
E11-e0058,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E16-e0051,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E19-e0042,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E03-e0046,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E07-e0148,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E13-e0097,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E14-e0052,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E21-e0092,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E22-e0082,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E29-e0121,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E32-e0078,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E36-e0073,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E38-e0040,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E40-e0088,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
E43-e0117,不整脈,心臓の収縮と拡張リズムの異常による心疾患のこと。徐脈は除く,0.7972
Z01-e0048,しびれ,体の一部の感覚が失われること。,0.7951
D01-e0142,死亡,すべての生命活動が止まること,0.7951
Z01-e0167,心筋挫傷,心臓にあざができる。,0.792
Z01-e0634,心筋挫傷,心臓にあざができる。,0.792
E04-e0057,心悸亢進,心臓の鼓動が激しくなること,0.7918
E33-e0067,心悸亢進,心臓の鼓動が激しくなること,0.7918
D11-e0045,心拍数低下,心臓の拍動回数が低下すること,0.7913
D12-e0043,心拍数低下,心臓の拍動回数が低下すること,0.7913
D01-e0106,心拍数低下,心臓の拍動回数が低下すること,0.7913
D02-e0105,心拍数低下,心臓の拍動回数が低下すること,0.7913
D07-e0060,心拍数低下,心臓の拍動回数が低下すること,0.7913
D08-e0060,心拍数低下,心臓の拍動回数が低下すること,0.7913
Z01-c0108_L2,リセットの問題,機器が正しくリセットされない。,0.7906
Z01-c0108,リセットの問題,機器が正しくリセットされない。,0.7906
Z01-e0154,心穿孔,心臓に後天的な穴があること。,0.7891
Z01-e0678,心穿孔,心臓に後天的な穴があること。,0.7891
Z01-e0150,頻脈,異常に高い心拍数。年齢、性別、患者集団の違いによる閾値が存在する。,0.7866
Z01-e0188,気道閉塞,気道内の空気の流れが妨げられる。,0.7863
Z01-e0152,心停止,正常な呼吸がなく、循環の徴候がない、反応しなくなった個体における生産的な心臓活動の突然の停止。,0.7857
Z01-d0027,機器の寿命を超えたことによる,機器に寿命が来ているため問題が発生する。,0.7852
